EV_D0	EV_D1	EV_D3	EV_D5	EV_D7	EV_D9	EV_D11	EV_D12	EV_D14	EV_D16	EV_D18	EV_D20	EV_D22	EV_D24	EV_D26	EV_D28	EV_D30
"x58"	-0.219435332974842	-0.702475139368908	0.128912460537124	0.0735417853395638	-0.475898826605421	0.375370278985658	0.724502578344407	0.543597150719314	0.669035145306991	0.578357467589343	0.21617879547122	-0.277654561162812	-0.453598259737904	-0.91472383295109	-0.957124673172125	-0.71617805650808	1.40759302018758
"x59"	0.150129092857274	0.0625145569446069	0.212135963652658	-0.0772567487504218	-0.000754802809758042	-0.45157643365226	0.0809465869520413	0.0256756526860288	0.0322048411164049	-0.0815610653518839	-0.546275647364804	-0.432382665605345	-0.754466344504166	1.42207179026833	-0.985273461395477	-0.0236140526412442	1.36748273759801
"x60"	0.315778354462374	0.358521069877157	0.367794214985132	0.0819478453618754	0.272806404574086	-0.133221620195408	0.293739940811104	-0.188989244831748	0.128011127599928	0.189734934944289	-0.392617461524531	-0.554574336315456	-0.956916529511498	-0.899185609609325	1.4096742429205	0.811528119611039	-1.1040314531595
"x61"	0.411214020553942	0.069041130645962	0.261388528826261	0.0325490122026217	0.368050270626315	-0.812252468624061	0.0661061691029329	-0.308214988215058	0.0244410816059507	0.0837655220125571	-0.559420535673969	0.998655334323735	0.9414458769539	-0.961307312722541	-0.92490676023014	1.13390526116237	-0.82446014255077
"x62"	0.0558147513496673	-0.17681934535834	-0.0857339883445711	-0.112442344947142	-0.171786174484546	-0.164797679036076	-0.0434132490740239	-0.265947765618789	-0.0599160766684557	0.0274025139931034	-0.492666728662651	0.0190647424100023	-0.0995300195247492	1.3414329580056	1.62010884831864	-0.489724577487722	-0.901045864869936
"x63"	0.231250267694281	0.309789179975211	-0.0205555107696061	-0.227267592801594	-0.118451160222269	-0.201441583142509	-0.109664552389194	-0.685391087027122	-0.234415792909178	0.080108095717879	-0.172550271809641	1.12470542177441	1.12390415974162	-0.838909791040822	-0.883546239057864	-0.586366680974581	1.20880313724097
"x64"	0.136770999264304	0.0102589758924431	-0.261113450763732	-0.310422259192902	-0.0769778535477757	-0.732728417947139	-0.394706173998391	-0.956120817516068	-0.576320964922509	-0.35750724807964	0.100198910604767	0.590785040168669	-0.896270815899024	1.08672912955993	1.26906545539582	0.792483214645926	0.575876276335321
"x65"	0.301421273907093	0.0540266136806534	0.39868222452343	0.362746190729883	0.191911103348222	0.293607396568054	0.464294451249642	0.368383712910576	0.423706575190852	0.300938495830618	0.0752839257121596	-0.961706441740409	-0.797103444715184	-1.05275356777936	1.42477473910815	-0.835382985105567	-1.01283026341881
"x66"	-0.06359512374011	-0.476478184274342	0.111609285944057	0.141897058637337	-0.294687493485516	0.0393864409688156	0.732987096984367	0.503682565129524	0.792272098534417	0.777194539251422	0.461564456749556	-0.612676677693532	-0.896254052253118	1.20315620262725	-0.933329226138457	-0.44024337840236	-1.04648560883931
"x67"	0.111592372818156	-0.0255005454262944	-0.290928366125852	-0.509979563565095	-0.153173652361548	-0.718272138861723	-0.509024744813837	-1.07497747271528	-0.483558114913115	-0.262547725263075	0.442062352269347	0.585300476267379	0.758711183435191	0.971579750606094	1.08992192352625	-0.689951194290786	0.758745459414177
"x68"	0.144913309506161	0.236832859053913	-0.303214211191875	-0.469884578581946	-0.00885983439857544	-0.281521750322023	-0.649476465726409	-1.71558455023186	-0.920966881546291	-0.417237728047924	-0.0385288065809011	0.418395609843979	0.495857193850534	0.442932674299398	0.59240675344514	0.635166134644965	1.8387702719837
"x69"	0.323282222049499	0.338606306300313	0.38071020301699	0.396229771099678	0.286280996686023	0.336405077459466	0.49007910762486	0.326272580106504	0.492486174876917	0.613010535307306	0.443093151871106	0.398950810457961	0.436094725796497	-1.67457988203498	-1.67362677837104	-0.337333292981996	-1.57596170926511
"x70"	-0.0808226554789124	-0.194277172799328	-0.0888888918196152	-0.166968933180993	-0.384566959373475	-0.417418684247348	0.177140965660407	-0.0346879837462496	0.282808170188352	0.214646902079754	0.0177458462762445	-0.247734056427024	-0.362168505161843	-0.5193225435133	0.0133472901912106	2.27335008597076	-0.482182874618623
"x71"	0.112835111682764	0.142494690103969	-0.353671328810938	-0.477143181034387	1.69771282282903	-0.218152309486575	-0.59215677572427	-1.61833306542187	-0.760334486516121	-0.484528470114361	-0.0678859245481141	0.465305547136294	0.373320313398286	0.246815006163421	0.517972939273197	0.615392798939926	0.400356312129726
"x72"	-0.20026747680121	-0.408199327468643	0.0791587921446376	0.0708839540380284	-0.307039317025115	0.406604379042183	0.700622029449871	0.444180751942379	0.674548185862531	0.664586991560417	0.466245787825522	0.0670353883874488	-0.925522315548967	-0.867321229636083	-1.13076547801539	1.1751493578895	-0.909900473647075
"x73"	-0.214142646100408	-0.503066158298967	0.138948323485455	0.357870288203397	-0.0620792926652732	0.86444661966111	0.924316391686513	0.288502369482742	0.901830138904283	0.985421438786695	0.92538748058592	-0.406585181726718	-0.674180676091838	-0.925057626220025	-0.870850095107378	-0.912340218374369	-0.818421156211135
"x74"	-0.0309042637279916	-0.0921174261648961	0.108310416650086	0.0766208527629998	-0.0330328568173789	0.0358710395995743	0.273237333489508	0.160084749537611	0.346895970406108	0.335649171787323	0.19333602472657	0.108627349539138	0.196509805319473	-2.79098152200475	0.412458802281273	0.376878232665861	0.322556319949496
